epoch,accuracy,loss,val_accuracy,val_loss
0,0.6951578855514526,0.7911373972892761,0.7595789432525635,0.6951979994773865
1,0.7552631497383118,0.6870880722999573,0.7644210457801819,0.6561179757118225
2,0.7655789256095886,0.6345828771591187,0.7627368569374084,0.6342299580574036
3,0.770105242729187,0.6092368960380554,0.7649473547935486,0.6160849332809448
4,0.7739999890327454,0.5907608270645142,0.7629473805427551,0.6018595099449158
5,0.7709473967552185,0.5717953443527222,0.7630526423454285,0.5927883386611938
6,0.7737894654273987,0.5631714463233948,0.7645263075828552,0.5836847424507141
7,0.7741052508354187,0.5527656674385071,0.7622105479240417,0.5797873735427856
8,0.7699999809265137,0.5527226328849792,0.7608420848846436,0.5796802043914795
9,0.7798947095870972,0.5426986813545227,0.7615789771080017,0.575993001461029
10,0.7750526070594788,0.5399461388587952,0.7635789513587952,0.5671847462654114
11,0.7734736800193787,0.5369022488594055,0.7624210715293884,0.5695443153381348
12,0.7753683924674988,0.5329623222351074,0.7624210715293884,0.5713792443275452
13,0.7749473452568054,0.5289100408554077,0.7613683938980103,0.5715195536613464
14,0.7726315855979919,0.5266664028167725,0.7609473466873169,0.568708598613739
15,0.7793684005737305,0.5197924971580505,0.7624210715293884,0.5682663917541504
16,0.7785263061523438,0.521257221698761,0.7628421187400818,0.5695365071296692
17,0.7778947353363037,0.518045961856842,0.7623158097267151,0.5692050457000732
18,0.7799999713897705,0.5109345316886902,0.7612631320953369,0.5681874752044678
19,0.7815789580345154,0.5097628831863403,0.7612631320953369,0.5702844262123108
20,0.7820000052452087,0.5078854560852051,0.7602105140686035,0.5726595520973206
21,0.7823157906532288,0.5024032592773438,0.7635789513587952,0.5714870095252991
22,0.7827368378639221,0.502471923828125,0.7636842131614685,0.5710769891738892
23,0.7795789241790771,0.5051847100257874,0.7617895007133484,0.5684642791748047
24,0.7818947434425354,0.49971839785575867,0.7631579041481018,0.5669792294502258
25,0.7887368202209473,0.49273544549942017,0.7625263333320618,0.5695290565490723
26,0.7861052751541138,0.4930438995361328,0.7624210715293884,0.5723265409469604
27,0.7842105031013489,0.49382343888282776,0.7630526423454285,0.5724234580993652
28,0.7864210605621338,0.48885422945022583,0.7636842131614685,0.5730474591255188
29,0.7885262966156006,0.4845796525478363,0.7632631659507751,0.5755712389945984
30,0.7867368459701538,0.48147034645080566,0.7614736557006836,0.5774229764938354
31,0.7883157730102539,0.4862651526927948,0.7609473466873169,0.5748443603515625
32,0.7847368717193604,0.4884827733039856,0.7606315612792969,0.5766095519065857
33,0.7850526571273804,0.4852013885974884,0.7608420848846436,0.5771212577819824
34,0.7922105193138123,0.4768013060092926,0.7620000243186951,0.5770421624183655
35,0.792736828327179,0.47439658641815186,0.7620000243186951,0.576984167098999
36,0.7925263047218323,0.47465449571609497,0.7643157839775085,0.5781680941581726
37,0.7882105112075806,0.47927430272102356,0.7629473805427551,0.5810852646827698
38,0.7905263304710388,0.47356316447257996,0.7630526423454285,0.579620897769928
39,0.7919999957084656,0.47524186968803406,0.7623158097267151,0.578131377696991
40,0.7918947339057922,0.4754564166069031,0.7612631320953369,0.5787962079048157
41,0.7917894721031189,0.4753446877002716,0.7623158097267151,0.5782600045204163
42,0.7972631454467773,0.46846339106559753,0.7624210715293884,0.5791450142860413
43,0.7895789742469788,0.47452446818351746,0.7625263333320618,0.5793617367744446
44,0.7953684329986572,0.469987154006958,0.7615789771080017,0.5796172022819519
45,0.7950526475906372,0.4705684185028076,0.7626315951347351,0.578359067440033
46,0.7929473519325256,0.4681272506713867,0.7621052861213684,0.5797758102416992
47,0.793684184551239,0.4682842195034027,0.7614736557006836,0.5793410539627075
48,0.7938947081565857,0.46911296248435974,0.7609473466873169,0.5818039774894714
49,0.7981052398681641,0.46438711881637573,0.7612631320953369,0.5793415904045105
